菠 艹氵皮
磻 石釆田
啵 口氵皮
饽 饣十冖子
钵 钅木一
脖 月十冖子
波 氵皮
剥 彐氺刂
搏 扌甫寸
薄 艹氵甫寸
博 十甫寸
鹁 十冖子鸟
勃 十冖子力
孛 十冖子
礴 石艹氵甫寸
踣 ⻊立口
箔 ⺮氵白
伯 亻白
帛 白巾
钹 钅又丶
铂 钅白
舶 舟白
膊 月甫寸
亳 亠口冖ノ七
渤 氵十冖子力
泊 氵白
驳 马乂乂
跛 ⻊皮
簸 ⺮其皮
檗 尸口辛木
擘 尸口辛手
晡 日甫
钸 钅巾
逋 辶甫
醭 酉业
捕 扌甫
卜 卜
哺 口甫
卟 口卜
补 衤卜
埠 土ノ󰃧十
布 巾
不 不
步 止
簿 ⺮氵甫寸
钚 钅不
瓿 立口一乙丶
部 立口阝
怖 忄巾
擦 扌宀示
嚓 口宀示
礤 石艹示
猜 犭月
才 丿
裁 亠󰀔󰀔
材 木丿
财 贝丿
踩 ⻊爫木
睬 目爫木
彩 爫木彡
采 爫木
菜 艹爫木
蔡 艹示
餐 ┝ 夕又食
骖 马厶大彡
参 厶大彡
蚕 一大虫
残 一夕戋
惭 忄车斤
黪 󰀹土灬厶大彡
惨 忄厶大彡
璨 王┝ 夕又米
粲 ┝ 夕又米
灿 火山
苍 艹人⺋
伧 亻人⺋
仓 人⺋
舱 舟人⺋
沧 氵人⺋
藏 艹戈爿臣
操 扌口口口木
糙 米辶󰅃口
曹 艹日日
槽 木艹日日
螬 虫艹日日
嘈 口艹日日
艚 舟艹日日
漕 氵艹日日
草 艹日十
艹 艹
厕 厂贝刂
策 ⺮木冂
侧 亻贝刂
册 󰀼󰀼一
恻 忄贝刂
测 氵贝刂
岑 山人丶乛
涔 氵山人丶乛
噌 口丷日
层 尸二厶
蹭 ⻊丷日
插 扌千臼
杈 木又丶
馇 饣木日一
锸 钅千臼
叉 又丶
搽 扌艹人木
茬 艹在
茶 艹人木
查 木日一
槎 木⺶工
檫 木宀示
碴 石木日一
猹 犭木日一
察 宀示
镲 钅宀示
衩 衤又丶
岔 八刀山
诧 讠宀ノ七
差 ⺶工
汊 氵又丶
姹 女宀ノ七
拆 扌斤丶
钗 钅又丶
柴 止匕木
侪 亻文
豺 豸丿
虿 一虫
瘥 疒⺶工
搀 扌⺈口儿
掺 扌厶大彡
觇 ┝ 口见
蟾 虫⺈厂八言
蝉 虫丷日十
躔 ⻊广日土八土
馋 饣⺈口儿
镡 钅覀日十
谗 讠⺈口儿
廛 广日土八土
潺 氵尸子子子
禅 礻丷日十
孱 尸子子子
缠 纟广日土
婵 女丷日十
蒇 艹戊贝
铲 钅立丿
谄 讠⺈臼
产 立丿
阐 门丷日十
冁 丷日十尸艹
颤 亠囗口日页
忏 忄千
羼 尸羊羊羊
菖 艹日日
昌 日日
伥 亻长
猖 犭日日
鲳 鱼日日
阊 门日日
娼 女日日
长 长
苌 艹长
尝 ⺌冖二厶
常 ⺌冖口巾
偿 亻⺌冖二厶
徜 彳⺌⺌
肠 月ㄋ
嫦 女⺌冖口巾
场 土ㄋ
厂 厂
氅 ⺌⺌攵毛
敞 ⺌⺌攵
昶 永日
惝 忄⺌⺌
唱 口日日
畅 申ㄋ
倡 亻日日
鬯 乂凵匕
怅 忄长
超 走刀口
抄 扌小丿
钞 钅小丿
怊 忄刀口
焯 火┝ 日十
弨 弓刀口
朝 十日十月
嘲 口十日十月
晁 日儿
潮 氵十日十月
巢 巛日木
吵 口小丿
炒 火小丿
耖 耒小丿
砗 石车
车 车
扯 扌止
坼 土斤丶
撤 扌亠厶月攵
掣 巾刂手
彻 彳七刀
澈 氵亠厶月攵
屮 屮
琛 王冖八木
抻 扌申
郴 木木阝
嗔 口十八
辰 辰
臣 臣
晨 日辰
尘 小土
谌 讠其󰄃
忱 忄冖儿
沉 氵冖几
宸 宀辰
陈 阝󰀂小
碜 石厶大彡
趁 走人彡
榇 木立木
龀 齿
称 禾⺈小
谶 讠人人戈非
闯 门马
衬 衤寸
撑 扌⺌冖口手
柽 木又土
蛏 虫又土
瞠 目⺌冖口土
铛 钅⺌彐
城 土戊𠃌
埕 土口王
枨 木长
橙 木癶一口ㄥ
酲 酉口王
成 戊𠃌
呈 口王
程 禾口王
乘 禾匕
惩 彳一止心
铖 钅戊𠃌
塍 月土
诚 讠戊𠃌
澄 氵癶一口ㄥ
裎 衤口王
丞 乛水一
承 乛水三
逞 辶口王
骋 马由一ノ
秤 禾一
螭 虫亠乂凵冂厶
哧 口土八
吃 口𠂉乙
嗤 口屮一虫
眵 目多
笞 ⺮厶口
魑 鬼亠乂凵冂厶
鸱 氏丶鸟
痴 疒矢口
蚩 屮一虫
媸 女屮一虫
墀 土尸氺牛
持 扌土寸
茌 艹亻士
踟 ⻊矢口
匙 是匕
篪 ⺮⺁虎
池 氵也
迟 辶尸丶
驰 马也
弛 弓也
豉 一口ㄥ十又
耻 耳止
齿 齿
呎 口尸
侈 亻多
褫 衤⺁虎
尺 尸
赤 土八
翅 十又习习
敕 木口攵
叱 口
傺 亻示
彳 彳
饬 饣𠂉力
斥 斤丶
啻 亠丷冖巾口
瘛 疒丰刀心
炽 火口八
舂 臼
茺 艹亠厶儿
艟 舟立日土
充 亠厶儿
冲 冫中
忡 忄中
憧 忄立日土
翀 习习中
虫 虫
崇 山宀示
宠 宀龙
铳 钅亠厶儿
抽 扌由
瘳 疒习习人彡
酬 酉󰀧川
踌 ⻊寸
畴 田寸
帱 巾寸
筹 ⺮寸
稠 禾冂土口
愁 禾火心
俦 亻寸
仇 亻九
雠 隹讠隹
惆 忄冂土口
绸 纟冂土口
瞅 目禾火
丑 十
臭 自大丶
樗 木雨二ノ
初 衤刀
出 屮凵
橱 木厂一口ㄥ寸
厨 厂一口ㄥ寸
蜍 虫人
躇 ⻊艹者
蹰 ⻊厂一口ㄥ寸
