⺁	⺁丿丿
㓡	𠂉十凵刂
㓢	夂口刂󰀢
㓣	人一口刂
㓤	士口刂󰀢
㓥	⺌彐刂󰀢
㓦	丆日刂󰀢
㓧	人丶乛刂
㓨	大人人刂
㓩	⺈用刂󰀢
㓪	丶󰁮刀󰁥
㓫	大一廾刂
㓬	丷夫刀刂
㓭	日勹人刂
㓮	󰀼土口刂
㓯	巛田刂󰀢
㓰	一由凵刂
㓱	人一月刂
㓲	丶尸冂刂
㓳	日一󰁾刂
㓴	丆冂〢刂
㓵	口口二刂
㓶	三丨刀刂
㓷	丿目木刂
㓸	匚󰁃󰀚刂
㓹	厂火火刂
㓺	虍文刂󰀢
㓻	罒一止刂
㓼	木人氺刂
㓽	山宀二刂
㓾	尸氺丿刂
㓿	禾人氺刂
㔀	日󰁸小刂
㔁	癶一口刂
㔂	米夕㐄刂
㔃	糹⺈巴刀
㔄	覀米刂󰀢
㔅	󰁬十󰀲刂
㔆	󰀄󰁜󰀄刂
㔇	癶弓几刂
㔈	艹丨三刂
㔉	尸丿口刂
㔊	亠囗口刂
㔋	匚丨󰁃刂
㔌	耳又乑刂
㔍	⺮目廾刂
㔎	凵人󰃧刀
㔏	石石石刂
㔐	⺮一丨刂
㔑	艹丿󰃧刀
㔒	山亻󰁷刂
㔓	丿十力󰁥
㔔	力口口󰀘
㔕	气力󰁥
㔖	力口乛󰀅
㔗	弓󰀯力󰁥
㔘	凵山力󰁥
㔙	䒑廾力󰁥
㔚	丿古力󰁥
㔛	士口力󰁣
㔜	爫孑力󰁥
㔝	一冂丨力
㔞	丿十丬力
㔟	丿九力
㔠	日勹人力
㔡	丿囗乂力
㔢	糹⺈巴力
㔣	田田田力
㔤	宀丿米力
㔥	罒厶月力
㔦	丷王飠力
㔧	虍田皿力
㔨	勹丬匕月
㔩	勹土厶皿
㔪	勹󰀥囗󰁘
㔫	匕󰁫
㔬	匕早󰀬
㔭	󰁴日一󰁾
㔮	廿口夫匕
㔯	匚几口󰀌
㔰	匚夕卜󰀦
㔱	匚󰀗人󰀦
㔲	匚人良九
㔳	匚人良几
㔴	匚田󰁺八
㔵	匚巳巳八
㔶	匚立早貝
㔷	匚一冂人
㔸	匚⺁虍几
㔹	十力󰁥
㔺	十七十󰀬
㔻	丆卜十󰀬
㔼	扌亻󰁷十
㔽	󰀥囗口󰀘
㔾	⺋𠃌乚
㔿	一󰁐丨󰀵
㕀	由⺋󰀅
㕁	乂厶卩
㕂	厂人丶乛
㕃	厂一廾󰀵
㕄	厂一幺󰀦
㕅	厂甲󰀵
㕆	厂古󰀌
㕇	厂立󰀌
㕈	厂亠󰀔󰀦
㕉	厂人一口
㕊	厂甫󰀦
㕋	厂金󰀌
㕌	厂日一寸
㕍	厂亻󰁷󰀌
㕎	厂土厶皿
㕏	厂一口十
㕐	厂臼勹灬
㕑	厂士口寸
㕒	厂丷王丶
㕓	厂󰀹土土
㕔	厂耳王心
㕕	厶厶󰁧
㕖	厶厶厶木
㕗	丷王ク厶
㕘	厶厶厶小
㕙	厶八夂丶
㕚	又󰁦󰀦
㕛	又又󰁧
㕜	口丨又󰁧
㕝	古又󰁧
㕞	尸冂丨又
㕟	󰀥冂艹又
㕠	冫亻󰁷又
㕡	󰀥冖一又
㕢	󰀥冖一又
㕣	八口󰀘
㕤	口九󰁀
㕥	口人󰁶
㕦	口大󰁧
㕧	口尸󰁥
㕨	口几丶󰁶
㕩	口三丨󰀢
㕪	口冖󰁜󰁀
㕫	口方󰁥
㕬	口八厶󰁶
㕭	口丿大󰁶
㕮	口八乂󰁶
㕯	冂人口󰀌
㕰	口毛󰁀
㕱	口乚丶
㕲	口木󰁶
㕳	口乂凵󰀢
㕴	口冖几󰁀
㕵	口王󰀝
㕶	口五󰀝
㕷	口白󰀝
㕸	口立󰀝
㕹	口又丶
㕺	口口一ㄅ
㕻	丶丆卜口
㕼	口勹乂󰄃
㕽	口󰁐丶人
㕾	小口匕󰀅
㕿	禾口󰀘
㖀	口󰁬󰀟󰀢
㖁	口乂厶
㖂	口日󰁒丿
㖃	口⺁一口
㖄	口丶丿丨
㖅	口戊一󰀝
㖆	口ㄇ󰁺󰀝
㖇	口丆冂〢
㖈	土丿匕口
㖉	口人止󰀝
㖊	口彐寸󰁶
㖋	人󰀯口匕
㖌	亻九口匕
㖍	󰁦十口匕
㖎	口匕人󰀯
㖏	口日土󰀝
㖐	口口󰁬丿
㖑	口戈廾󰀢
㖒	口丷弓丿
㖓	口夂三丨
㖔	口丿大口
㖕	口辛󰀢
㖖	辛口󰀘
㖗	口山人乛
㖘	口厂二󰀖
㖙	力口口匕
㖚	亻寸口匕
㖛	古口匕󰀅
㖜	󰁸口匕󰀅
㖝	未口匕󰀅
㖞	口口冂人
㖟	口爫冖又
㖠	口大二小
㖡	口亠亻丶
㖢	口广止匕
㖣	口立口󰀝
㖤	口了󰀪凵
㖥	口囗禾󰁶
㖦	口木日󰀝
㖧	口󰁚󰀁日
㖨	口󰁭氺󰁶
㖩	口耳又󰁶
㖪	口戈口󰀞
㖫	口土八夂
㖬	口臼又󰁶
㖭	口丿大⺗
㖮	口人一艹
㖯	冂一口匕
㖰	口匕冂口
㖱	亠亻夂口
㖲	女口口匕
㖳	氵女口匕
㖴	口艹勹󰁤
㖵	口󰀣八󰁶
㖶	口覀土󰀝
㖷	口日一󰁾
㖸	口虍匚一
㖹	口八刀皿
㖺	口三人日
㖻	口󰁻乛木
㖼	口甘木󰁶
㖽	口丆貝󰁶
㖾	口口䒑丿
㖿	口耳阝󰀢
㗀	口山幺幺
㗁	口口口ㄅ
㗂	口小丿目
㗃	口󰁂󰀁日
㗄	口罒方󰁥
㗅	口古月󰀝
㗆	口廿󰀜󰀢
㗇	口󰁃丨又
㗈	口󰁻用力
㗉	三丨刀口
㗊	口口口口
㗋	口⺈厂大
㗌	口宀一土
㗍	口禾日󰀝
㗎	口力口木
㗏	口丆卜止
㗐	口大丶皿
㗑	口三十
㗒	口󰁸󰀔󰁶
㗓	口丿󰃧辶
㗔	口虍文󰁶
㗕	口󰀀冂土
㗖	口爫臼󰀝
㗗	口力白十
㗘	口甫寸󰁶
㗙	口勹凵丿
㗚	口覀木󰁶
㗛	口⺮丿大
㗜	口亠幺田
㗝	口䒑王灬
㗞	口石皮󰁶
㗟	氵丶王匕
㗠	女厶口匕
㗡	艹亻乃匕
㗢	口丿一力
㗣	口廿儿丨
㗤	戊上小口
㗥	口󰁸孑阝
㗦	口耳󰁚卩
㗧	口宀八土
㗨	匚𠂉大口
㗩	口羽白󰀝
㗪	口止匕小
㗫	口󰁯二小
㗬	⺌冖口夕
㗭	口丿米心
㗮	夕口广人
㗯	土丿日匕
㗰	口彳人󰁾
㗱	口亻󰁷木
㗲	口󰁬土一
㗳	口⺮人口
㗴	口門月󰀝
㗵	口火火人
㗶	口癶弓又
㗷	口宀󰀀贝
㗸	口彳𠂉丁
㗹	口亻󰁷心
㗺	口一大三
㗻	口ㄇ󰁈辶
㗼	口业丷未
㗽	󰁲丿丶口
㗾	口廿󰀜ヒ
㗿	口門丁口
㘀	口臼米󰁶
㘁	口皿土十
㘂	口䒑幺心
㘃	口艹心
㘄	口木罒方
㘅	口彳釒丁
㘆	口士口土
㘇	口火火木
㘈	口匕𠂉󰁾
㘉	口⺮󰁮卩
㘊	口󰀙言󰀝
㘋	口匚丨貝
㘌	口虍一刂
㘍	口小亻戈
㘎	口门乛攵
㘏	䒑丿目匕
㘐	口󰀋灬乂
㘑	口士二氺
㘒	禾丿一匕
㘓	口門木󰀹
㘔	口宀󰀀貝
㘕	口艹匚皿
㘖	口立丿貝
㘗	口目目󰁷
㘘	言糹糹口
㘙	口口口攵
㘚	口門乛攵
㘛	口人一三
㘜	亻󰁷言口
㘝	囗又󰀦
㘞	囗力󰀏
㘟	囗廾󰀵
㘠	囗心丿󰀏
㘡	囗甲󰀵
㘢	囗⺌一儿
㘣	囗口月󰀌
㘤	囗氵󰀲一
㘥	囗爫𠂉小
㘦	土力󰁥
㘧	土󰁻乛亅
㘨	土冂人󰁶
㘩	土󰁴匕󰁀
㘪	土毛󰁀
㘫	土二󰀯󰀢
㘬	土勹厶󰁶
㘭	土幺𠃌󰁀
㘮	土尸󰂃󰁶
㘯	土𠂉力󰁥
㘰	土󰁦十󰀢
㘱	土冂土󰀝
㘲	土尸九󰁀
㘳	丬匕土󰀘
㘴	口人土󰀌
㘵	土冂丨
㘶	夕㐄土󰀘
㘷	土艹乂󰁶
㘸	一夕匕土
㘹	止匕土󰀘
㘺	土亻戈󰁶
㘻	土囗大󰁶
㘼	土土丿ㄅ
㘽	十戈土󰀌
㘾	土宀一󰀛
㘿	土日土󰀝
㙀	土宀八九
㙁	土𠂉母󰁶
㙂	土丷口儿
㙃	土丘八󰁶
㙄	土󰁴匕土
㙅	土口木󰁶
㙆	土宀厶
㙇	土一󰀓󰁶
㙈	土虍几󰁀
㙉	土ㄇ󰁺八
㙊	土󰀍󰀖󰁶
㙋	土󰀎八󰁶
㙌	土󰁬丨八
㙍	土又又又
㙎	土戊一女
㙏	土𠂉日夂
㙐	土山丆〢
㙑	丿口冂土
㙒	田󰁻乛土
㙓	土土土土
㙔	土󰁆口㐄
㙕	土田月󰀝
㙖	土丿口丶
㙗	土田一󰀖
㙘	土覀女󰀝
㙙	氵乚土
㙚	土丷王󰀟
㙛	土甫寸󰁶
㙜	󰁸冂口土
㙝	土力力月
㙞	土丿目木
㙟	土丶󰁮月
㙠	匚𠂉大土
㙡	土彳人󰁾
㙢	土廿冂丶
㙣	土弓󰀍󰀖
㙤	土虍丿󰀛
㙥	土六口󰀔
㙦	人一朩土
㙧	土一〢田
㙨	土幺幺人
㙩	土大丷小
㙪	土士冖䒑
㙫	土亻󰁷木
㙬	木人人土
㙭	土厂䒑人
㙮	土⺮人口
㙯	土八土厶
㙰	⺈用刀土
㙱	口一ㄅ土
㙲	土亠󰁲󰁷
㙳	土戊一心
㙴	土⺈厂言
㙵	土󰁸冂土
㙶	󰁸⺌冖土
㙷	土日幺灬
㙸	土亻业夫
㙹	土艹罒夕
㙺	土匚口貝
㙻	土广日土
㙼	土田田田
㙽	土大丆日
㙾	土󰀗乂子
㙿	土丷王丶
㚀	土虍一戈
㚁	土土土儿
㚂	土一口󰀔
㚃	士冖乂䒑
㚄	士冖田󰁾
㚅	夂一丿
㚆	亠日夂󰁧
㚇	乂凵八夂
㚈	夕十󰀢
㚉	乃夕夕󰁧
㚊	夕夕亠人
㚋	夕夕󰀼口
㚌	夕夕日木
㚍	夕夕口貝
㚎	大凵󰀬
㚏	大廾󰀬
㚐	大大󰁧
㚑	彐大󰁧
㚒	大丿丶丶
㚓	大木󰁧
㚔	大䒑十󰀬
㚕	大弓󰀯󰀬
㚖	白大󰁧
㚗	大󰀐一󰀘
㚘	夫夫󰁶
㚙	力口大󰁧
㚚	大夕口󰀘
㚛	大匕日󰀘
㚜	大戈口󰀞
㚝	大亻土土
㚞	大木木󰁧
㚟	⺈口󰁴大
㚠	大丷王灬
㚡	大丁口口
㚢	亻女󰀝
㚣	女女󰀘
㚤	女󰀁丶󰁶
㚥	女一󰀛󰀢
㚦	女一󰀯󰀢
㚧	女广󰁥
㚨	女⺄十󰀢
㚩	女冂二󰀝
㚪	女毛󰁀
㚫	女乃󰂃󰁶
㚬	女勹冫󰀝
㚭	女乚丶
㚮	女冖几󰁀
㚯	女几乂󰁶
㚰	女丆卜一
㚱	女丘󰀝
㚲	女󰀥口󰀝
㚳	女力口󰀝
㚴	女冂丨
㚵	女夂󰁦󰁶
㚶	女󰃧󰀝
㚷	女人小󰁶
㚸	女𠃌一口
㚹	女󰁚丿卩
㚺	女乃子󰀝
㚻	田女󰀘
㚼	女田󰀝
㚽	工一ㄅ女
㚾	女口儿󰁀
㚿	女勹巳󰁀
㛀	女⺈彐󰀝
㛁	女一丷十
㛂	女⺁巴󰁀
㛃	三丨刀女
㛄	女亠󰀔󰁶
㛅	女耳󰀝
㛆	女乃木󰁶
㛇	女广土󰀝
㛈	女土丿ㄅ
㛉	女西󰀝
㛊	女几木󰁶
㛋	女人⺗󰁶
㛌	女厶丿󰀟
㛍	女大人人
㛎	女口口󰀝
㛏	女一氺丶
㛐	女一日乂
㛑	󰀥夕又女
㛒	女一口䒑
㛓	女乂丨
㛔	女夂三丨
㛕	女口巴󰁀
㛖	女厶八夂
㛗	女人人土
㛘	女十冖子
㛙	女辛󰀢
㛚	女󰁻用󰀢
㛛	女丿󰀽丿
㛜	亻丨攵女
㛝	女貝󰁶
㛞	女王廾󰀢
㛟	女⺈ㄇ大
㛠	女门日󰀝
㛡	女宀二儿
㛢	女禾乃󰁥
㛣	女口贝󰁶
㛤	女一冂丶
㛥	女水日󰀝
㛦	女木木󰁶
㛧	女山石󰀝
㛨	女⺶乚󰁀
㛩	女亠厶月
㛪	女大日乚
㛫	女日勹󰁤
㛬	女土八土
㛭	女󰁺日󰀝
㛮	女宀火又
㛯	女⺈口力
㛰	女󰁂󰀁日
㛱	女田一󰀖
㛲	女丆貝󰁶
㛳	亠丷冖女
㛴	女巛丿乂
㛵	女爫冂土
㛶	女山火
㛷	禾乚女
㛸	女士口䒑
㛹	女亻一乂
㛺	女立日󰀝
㛻	女大土土
㛼	女丿十臼
㛽	女宀米󰁶
㛾	女戊一口
㛿	女一〣丨
㜀	女木目󰀝
㜁	女木日一
㜂	土土寸女
㜃	女亻言󰀝
㜄	女几丿虫
