⺁	⺁丿丿
㻼	王覀早󰀢
㻽	王亻󰁷𠃌
㻾	亠󰁲丿丶
㻿	王罒勹虫
㼀	王土䒑辶
㼁	王丷王丶
㼂	󰀗一ㄅ丶
㼃	王巛囗󰁒
㼄	王幺幺田
㼅	王广󰁺八
㼆	王火火丶
㼇	王山亻𠃌
㼈	王罒糹󰁷
㼉	⺁厶󰂃󰁜
㼊	一凵󰁐󰂃
㼋	古⺁厶󰂃
㼌	⺁厶丶󰂃
㼍	二木⺁󰂃
㼎	⺁厶󰂃乂
㼏	爫女⺁󰂃
㼐	丶尸冂󰂃
㼑	木󰀹⺁󰂃
㼒	⺁厶󰂃󰁤
㼓	⺁厶丶八
㼔	日皿⺁󰂃
㼕	⺌冖口󰂃
㼖	⺁厶丶虫
㼗	丁一󰁐丶
㼘	山一󰁐丶
㼙	冂丨一丶
㼚	亠几一丶
㼛	一廾一丶
㼜	ㄇ大一丶
㼝	夕⺋一丶
㼞	一丷十丶
㼟	白一󰁐丶
㼠	宀匕一丶
㼡	丿未一丶
㼢	匚丨口丶
㼣	丆日一丶
㼤	三丨刀丶
㼥	土丿一丶
㼦	工几丶丶
㼧	󰁻用一丶
㼨	人丶乛丶
㼩	戊𠃌一丶
㼪	大人人丶
㼫	日木一丶
㼬	土䒑十丶
㼭	土󰀥口丶
㼮	一󰁬丨丶
㼯	木日一丶
㼰	白丿十丶
㼱	丬匕冖丶
㼲	丆冂〢丶
㼳	小丿目丶
㼴	日冂丨丶
㼵	日一󰁾丶
㼶	人一月丶
㼷	山丆冂丶
㼸	宀八人丶
㼹	艹亠󰄃丶
㼺	广󰁬丨丶
㼻	彳人人丶
㼼	覀二小丶
㼽	大乂乂丶
㼾	󰁙󰁴󰁴丶
㼿	立日土丶
㽀	丷西一丶
㽁	厂禾禾丶
㽂	人一口丶
㽃	丿米田丶
㽄	󰀎八斤丶
㽅	癶一口丶
㽆	⺌冖口丶
㽇	󰀗乂乂丶
㽈	匕𠂉大丶
㽉	匚丨󰁃丶
㽊	言火火丶
㽋	言糹糹丶
㽌	󰀙󰁚丶丶
㽍	甘一󰁐丶
㽎	󰀎八󰄃󰁜
㽏	氵人一甘
㽐	甘䒑󰁬八
㽑	甘覀早󰀢
㽒	田力丿
㽓	丿丿
㽔	业󰀓丿
㽕	由󰀊󰀅
㽖	田力󰁥
㽗	田人󰁶
㽘	田亠几󰁀
㽙	田厶儿󰁀
㽚	田丿󰀟󰀬
㽛	田勹口󰀝
㽜	夕⺋田󰀘
㽝	一夕刂田
㽞	口口田󰀘
㽟	田爫寸󰁶
㽠	田大人人
㽡	田白丿十
㽢	田大日乚
㽣	田戈口󰀞
㽤	田勹米󰁶
㽥	田󰁻乛木
㽦	火火冖田
㽧	田䒑幺幺
㽨	田⺶工󰀝
㽩	田厶厶彡
㽪	田丷󰀺日
㽫	亠󰁲丿田
㽬	一口田田
㽭	田󰀙丆〢
㽮	田田田
㽯	田山亻口
㽰	月月乛󰁾
㽱	疒󰁐丨󰀵
㽲	疒一ㄅ󰁫
㽳	疒一󰀛󰀵
㽴	疒󰂃󰀦
㽵	疒土󰀌
㽶	疒己󰁫
㽷	疒水󰀦
㽸	疒冖󰁜󰁫
㽹	疒⺁又󰀦
㽺	疒丿󰁈又
㽻	疒十又󰀦
㽼	疒弓丨󰀵
㽽	疒古󰀌
㽾	疒凵山󰀵
㽿	疒⺁厶󰂃
㾀	疒土厶󰀦
㾁	疒木丶󰀦
㾂	疒厶口󰀌
㾃	疒宀匕󰁫
㾄	疒由󰀌
㾅	疒丿ㄅ丿
㾆	疒冂土󰀌
㾇	疒目󰀌
㾈	疒亻寸󰀦
㾉	疒人丶󰁻
㾊	疒木冂󰁫
㾋	疒亻木󰀦
㾌	疒丿土儿
㾍	疒丆冂〢
㾎	疒丨󰁎一
㾏	疒土土󰀌
㾐	疒一夕刂
㾑	疒人一口
㾒	疒女口󰀌
㾓	疒口月󰀌
㾔	疒口口󰀌
㾕	疒辛󰀵
㾖	疒日土󰀌
㾗	疒丶艮󰀦
㾘	疒一日乂
㾙	疒乂丨
㾚	疒止匕二
㾛	疒彐冖又
㾜	疒大人人
㾝	疒車󰀵
㾞	疒西一󰀌
㾟	疒止󰀤󰀏
㾠	疒犭󰁥王
㾡	疒土厶卩
㾢	疒木人人
㾣	疒金󰀌
㾤	疒宀八工
㾥	疒上小又
㾦	疒立口󰀌
㾧	疒日木󰀦
㾨	疒大丁口
㾩	疒丿十匕
㾪	疒小丿目
㾫	疒丶尸艹
㾬	疒󰁴匕白
㾭	疒禾火󰀦
㾮	疒白王󰀌
㾯	疒田一󰀖
㾰	疒古月󰀌
㾱	疒癶二儿
㾲	疒󰁡攵
㾳	疒冫⺈女
㾴	疒木日一
㾵	疒言十󰀵
㾶	疒󰀾月󰀌
㾷	疒⺁虍几
㾸	疒󰁸冂口
㾹	疒止匕木
㾺	疒󰀋灬󰀦
㾻	疒阝人朩
㾼	疒艮辶󰀦
㾽	疒丿󰃧辶
㾾	疒䒑󰁬八
㾿	疒丶󰁮阝
㿀	疒王丶王
㿁	疒白大十
㿂	疒山王攵
㿃	疒廿儿丨
㿄	疒匚𠂉又
㿅	疒彳止󰁾
㿆	疒禾亠󰀔
㿇	疒羽白󰀌
㿈	疒󰁲丿󰁷
㿉	疒口丨貝
㿊	疒󰀄儿日
㿋	疒口口木
㿌	疒人一人
㿍	疒⺈用󰀟
㿎	疒十艹貝
㿏	疒󰁬丿羊
㿐	疒土󰁾夕
㿑	疒羽亻󰁷
㿒	疒士乛寸
㿓	疒大人󰁾
㿔	疒田田田
㿕	疒門⺈臼
㿖	疒虍田皿
㿗	疒禾几貝
㿘	疒火火口
㿙	疒罒罒大
㿚	疒罒糹󰁷
㿛	疒一冂匕
㿜	疒丿目艹
㿝	白厶󰁧
㿞	白毛󰁀
㿟	白白󰀝
㿠	白⺌一儿
㿡	白儿󰀪󰁧
㿢	日月白󰀘
㿣	白日勹󰄃
㿤	白三人日
㿥	白冖亻󰁷
㿦	士󰁅几白
㿧	白士乛寸
㿨	白厂禾止
㿩	白⺌冖灬
㿪	皮九丶󰁶
㿫	󰁴匕皮󰁧
㿬	皮巴󰁀
㿭	斤丶皮󰁶
㿮	ㄇ大皮󰁶
㿯	人一口皮
㿰	六乂皮󰁶
㿱	扌斤皮󰁧
㿲	大丁口皮
㿳	皮巛田󰀝
㿴	大耳皮󰁶
㿵	皮丆冂大
㿶	亠丷冖皮
㿷	⺶工皮󰁶
㿸	皮日罒又
㿹	皮土羊辶
㿺	日󰁺八皮
㿻	干皿󰀘
㿼	一廾皿󰀘
㿽	八一ㄅ皿
㿾	宀丁皿󰀘
㿿	乛󰁾皿󰀘
䀀	氵⺋皿󰀘
䀁	月皿󰀘
䀂	宀女皿󰀘
䀃	一󰀓皿󰀘
䀄	宀心丿皿
䀅	礻󰁶土皿
䀆	󰁬丨一皿
䀇	古𠂉十皿
䀈	󰁮󰀄󰁜皿
䀉	丿大口皿
䀊	氵羽人皿
䀋	土𠂉󰀥皿
䀌	󰁬󰀟丆皿
䀍	立早夂皿
䀎	目一ㄅ󰁀
䀏	勹目󰀌
䀐	目彡󰁥
䀑	目又丶󰁶
䀒	目丿十󰀢
䀓	目九丶󰁶
䀔	目刀丶󰁶
䀕	目弓丨󰀢
䀖	目一大󰁶
䀗	目ユ人󰁶
䀘	目一廾󰀢
䀙	目七刀󰁥
䀚	目󰁚卩󰀬
䀛	目勹󰁤󰁥
䀜	勹󰁤目󰀘
䀝	目󰁴匕󰁀
䀞	目󰁦十󰀢
䀟	目弓󰀯󰀢
䀠	目目󰀝
䀡	目󰀥口󰀝
䀢	目𠂉大󰁶
䀣	目心丿󰁥
䀤	夕卜目󰀘
䀥	目丿󰄃小
䀦	目古󰀝
䀧	目󰁺八󰁶
䀨	目丿古󰀝
䀩	目夂口󰀝
䀪	目彳一丁
䀫	目人一口
䀬	目人王󰀝
䀭	目亠ㄥ人
䀮	目亠󰄃󰀸
䀯	目甫󰁶
䀰	目八人口
䀱	目夂三丨
䀲	目𠂉母󰁶
䀳	目木口󰀝
䀴	目一巛工
䀵	目厶𠂉大
䀶	目丶艮󰁶
䀷	目土厶力
䀸	扌斤目󰀘
䀹	目大人人
䀺	亻丨攵目
䀻	目由一ㄅ
䀼	目厂二󰀖
䀽	目丿󰀥廴
䀾	石又目󰀘
䀿	目扌斤󰀢
䁀	目扌斤󰀬
䁁	目󰁸小󰁶
䁂	匚丨󰁃目
䁃	目󰀔󰁶
䁄	目土䒑十
䁅	目子皿󰀝
䁆	目大日乚
䁇	宀心丿目
䁈	丶尸攵目
䁉	丶尸戈目
䁊	目又丶目
䁋	目廿󰄃木
䁌	目田月󰀝
䁍	目戊一口
䁎	目󰁸冖丁
䁏	目覀女󰀝
䁐	目艹ㄇ大
䁑	目日一󰁤
䁒	目口耳󰀝
䁓	目乂凵夂
䁔	目爫一又
䁕	目󰁂󰀁日
䁖	目米女󰀝
䁗	目山一䒑
䁘	目爫𠂉凵
䁙	目日宀女
䁚	目口貝󰁶
䁛	目白󰁜厶
䁜	目日⺌儿
䁝	火火冖目
䁞	人人人目
䁟	目⺶工󰀝
䁠	目䒑󰁬八
䁡	目門人󰁶
䁢	目方𠂉󰁾
䁣	目一日寸
䁤	目亠丷古
䁥	目匚艹口
䁦	目虍󰀐一
䁧	目艹口夫
䁨	目󰁸孑阝
䁩	目󰁢灬󰁶
䁪	目車斤󰀢
䁫	目󰀹土灬
䁬	目丷󰀺日
䁭	目犬犬犬
䁮	目󰀄󰁜日
䁯	目人一羽
䁰	目工丆貝
䁱	目土土儿
䁲	目罒貝󰁶
䁳	目艹犬廾
䁴	目亠囗一
䁵	目罒一󰀔
䁶	目白方攵
䁷	󰀗乂乂目
䁸	目ㄇ󰁺󰀖
䁹	目尸口辛
䁺	目罒土十
䁻	目白幺木
䁼	目󰀹土土
䁽	目巛囗󰁒
䁾	目艹罒人
䁿	󰀹土灬目
䂀	目丷王丶
䂁	目⺈口丶
䂂	目目目󰁷
䂃	目爫罒寸
䂄	目目目又
䂅	目言糹虫
䂆	󰁻乛亅丶
䂇	󰁻乛亅一
䂈	󰁻乛亅虫
䂉	󰁻乛亅大
䂊	󰁻乛亅󰀓
䂋	古㐄󰁻木
䂌	󰁻乛亅土
䂍	󰁻乛亅氺
䂎	󰁻乛亅貝
䂏	𠂉大刀口
䂐	𠂉大凵山
䂑	𠂉大止匕
䂒	𠂉大士口
䂓	𠂉大目儿
䂔	𠂉大土十
䂕	𠂉大彑󰀓
䂖	丆丶口󰀘
䂗	石ヒ󰁀
䂘	石又丶󰁶
䂙	石阝󰀢
䂚	石乂乂󰁶
䂛	石󰁻乛亅
䂜	石三丨󰀢
䂝	石戈󰁶
䂞	石木󰁧
䂟	力口石󰀘
䂠	石𠂉大󰁶
䂡	石丘󰀝
䂢	石夂󰁦󰁶
䂣	石止匕󰁀
䂤	石亻寸󰁶
䂥	石󰁂󰀁󰁀
䂦	石人彡󰁥
䂧	石⺈小󰁶
䂨	石斤丶󰁶
䂩	石囗大󰁶
䂪	石儿󰀪󰁶
䂫	石夂㐄󰀢
䂬	工几丶石
䂭	石六乂󰁶
䂮	三丨刀石
䂯	石广土󰀝
䂰	石禾刂󰀢
䂱	石丷口儿
䂲	土厶力石
䂳	石人人土
䂴	石言󰀝
䂵	石工贝󰁶
䂶	石土厶力
䂷	石丿十匕
䂸	石戈口󰀞
䂹	石󰁝火󰁶
䂺	石日木󰁶
䂻	石󰀍󰀖󰁶
䂼	石人丶心
䂽	石󰀥早󰀢
䂾	石木人人
䂿	石水日󰀝
䃀	石一󰁬女
䃁	石一󰀚一
䃂	石日󰁴匕
䃃	石冂䒑󰄃
䃄	石󰁸小󰁶
䃅	石丷日十
䃆	石󰀎八󰁶
䃇	石白冂丨
䃈	石󰁴匕白
䃉	石󰁂󰀁日
䃊	石艹󰀐一
䃋	石人一刂
䃌	石覀土󰀝
䃍	石䒑󰀓󰁶
䃎	石大夕夕
䃏	石日丿
䃐	石宀八犬
䃑	石丿󰁪又
䃒	石一口丨
䃓	石󰀀冂土
䃔	石宀口口
䃕	火火冖石
䃖	石󰁞灬󰁶
䃗	石󰁭氺刂
䃘	石匚丨土
䃙	石󰁙󰁴匕
䃚	石方𠂉大
䃛	石車辶󰀢
䃜	匚𠂉大石
䃝	石土丿攵
䃞	󰁸孑九石
䃟	石󰁺月攵
䃠	石方𠂉󰁾
䃡	石󰀄󰁜日
䃢	石釒⺈人
䃣	石爫丿灬
䃤	石󰁬十󰀲
䃥	石立日土
䃦	󰁸孑攵石
䃧	阝夂一石
䃨	石弓口虫
䃩	石ㄇ󰁺󰀖
䃪	石亠囗一
䃫	石⺈厂言
䃬	石山白厶
䃭	石戊一心
䃮	石土羊辶
䃯	石白󰀪木
䃰	石宀󰁯小
䃱	石十戈󰀞
䃲	石丿󰁪皿
䃳	石巛囗󰁒
䃴	石言土日
䃵	石亠󰀋󰀔
䃶	石亠罒󰀔
䃷	石󰄹月丶
䃸	石人人󰀞
䃹	石門木󰀹
䃺	石广木三
䃻	石󰀙廿月
䃼	礻󰁶卜󰁶
䃽	礻󰁶十又
䃾	礻󰁶󰁴匕
䃿	礻󰁶夫󰁶
䄀	礻󰁶戈󰁶
䄁	礻󰁶廿󰄃
䄂	礻󰁶由󰀝
䄃	礻󰁶ㄇ大
䄄	礻󰁶囗大
䄅	丷夫二小
䄆	礻󰁶丿古
䄇	礻󰁶口王
䄈	礻󰁶一䒑
䄉	礻󰁶丿丶
䄊	礻󰁶士心
䄋	礻󰁶大乚
䄌	礻󰁶又又
䄍	礻󰁶󰁺日
䄎	礻󰁶大口
䄏	礻󰁶艹大
䄐	凵山二巳
䄑	礻󰁶󰁚日
䄒	礻󰁶人心
䄓	礻󰁶白王
䄔	礻󰁶丿丶
䄕	礻󰁶水田
䄖	礻󰁶人刂
䄗	礻󰁶󰀲一
䄘	礻󰁶亠方
䄙	礻󰁶冖六
䄚	礻󰁶一日
䄛	礻󰁶󰀻女
䄜	礻󰁶亠厶
䄝	礻󰁶三臼
䄞	礻󰁶󰁯小
䄟	毛毛毛小
䄠	礻󰁶亠一
䄡	礻󰁶⺈言
䄢	礻󰁶󰀴󰀳
䄣	礻󰁶士貝
䄤	礻󰁶木貝
䄥	礻󰁶󰀙人
䄦	禾了󰀢
䄧	禾乃󰁥
䄨	禾一󰀛󰀢
䄩	禾󰀁丶󰁶
䄪	禾勹丶󰁶
䄫	禾己󰁀
䄬	禾也󰁀
䄭	禾丿十󰀢
䄮	禾夫󰁶
䄯	禾一廾󰀢
䄰	禾󰀄亅丿
䄱	禾方󰁥
䄲	禾冂人󰁶
䄳	禾止󰀝
䄴	禾月󰀝
䄵	禾㐄󰀬
䄶	禾弓󰀯󰀢
䄷	禾石󰀝
䄸	禾白󰀝
䄹	禾人丿十
䄺	禾一弓人
䄻	禾儿󰀪󰁶
䄼	禾一囗人
䄽	禾西󰀝
䄾	禾戈󰁥
䄿	禾日󰁒丿
䅀	禾一夕刂
䅁	宀女禾󰁧
䅂	禾夂口󰀝
䅃	工几丶禾
䅄	禾力力力
䅅	禾土土󰀝
䅆	禾冫⺈人
䅇	覀禾󰁧
䅈	丷夫禾󰁧
䅉	禾一业󰀝
䅊	禾广丿七
䅋	禾⺈口󰁜
䅌	禾口月󰀝
䅍	禾丿士廴
䅎	禾禾乃󰁥
䅏	禾尸毛󰁀
䅐	禾目儿󰁀
䅑	禾爫女󰀝
䅒	禾艹亠󰄃
䅓	禾勹口又
䅔	禾巛田󰀝
䅕	禾尸古󰀝
䅖	禾大日乚
䅗	禾禾女󰀝
䅘	禾木人人
䅙	禾日󰁴匕
䅚	禾丷夫⺋
䅛	禾日日󰀝
䅜	禾ノ一士
䅝	禾宀八工
䅞	禾日一寸
䅟	禾厶大彡
䅠	禾日一󰁾
䅡	禾丆貝󰁶
䅢	禾由月󰀝
䅣	禾白王󰀝
䅤	禾丿十臼
䅥	禾日勹󰄃
䅦	禾艹田󰀝
䅧	禾立日󰀝
䅨	禾禾日󰀝
䅩	禾十又八
䅪	禾口丨贝
䅫	禾亠日小
䅬	禾䒑八皿
䅭	禾亠丷方
䅮	禾人丶口
䅯	禾广󰁬口
䅰	禾囗大心
䅱	禾山一䒑
䅲	禾土丿日
䅳	禾勹凵丿
䅴	禾十冖小
䅵	禾丷王灬
䅶	禾厂二寸
䅷	禾艹人朩
䅸	禾艹辛󰀢
䅹	禾󰀻女󰀝
䅺	禾覀二小
䅻	禾亠乂厶
䅼	禾日罒又
䅽	士󰁅几禾
䅾	禾󰀄󰁜日
䅿	禾艹一󰀟
䆀	禾󰀹土灬
䆁	禾罒土十
䆂	禾广䒑八
䆃	䒑丿目禾
䆄	禾亠囗一
䆅	禾冫⺈貝
䆆	禾口口木
䆇	禾几󰁟灬
䆈	禾尸氺辶
䆉	禾罒厶匕
䆊	禾丬匕八
䆋	禾⺈󰁵󰀝
䆌	禾禾言
䆍	禾立月三
䆎	禾人人󰀞
䆏	禾米田八
䆐	三八禾禾
䆑	宀八丁󰀬
䆒	宀八九丶
䆓	宀八厶儿
䆔	宀八口丨
䆕	宀八ユ人
䆖	宀八厶
䆗	宀八口丨
䆘	宀八甲󰀬
䆙	宀八一止
䆚	宀八冂口
䆛	宀八口七
䆜	宀八月
䆝	宀八丿皿
䆞	宀八日匕
䆟	宀八人口
䆠	宀八匚丨
䆡	宀八丶艮
䆢	宀八扌大
䆣	宀八厂󰀖
䆤	宀八丿丿
䆥	宀八一󰀓
䆦	宀八火火
䆧	宀八禾女
䆨	宀八日大
䆩	宀八目大
䆪	⺌一儿工
䆫	宀八勹心
䆬	宀八口貝
䆭	宀八車干
䆮	宀八氵又
䆯	宀八又女
䆰	宀八匚口
䆱	宀八氵火
䆲	宀八广氺
䆳	宀八一辶
䆴	宀八⺈乚
䆵	宀八丷日
䆶	宀八亻灬
䆷	宀八󰁻口
䆸	宀八癶䒑
䆹	宀八立土
䆺	宀八丿田
䆻	宀八乛攵
䆼	宀八ㄇ辶
䆽	宀八虍󰀓
䆾	宀八匚皿
䆿	宀八爿木
䇀	宀八廿耳
䇁	宀八󰁢羊
䇂	立丨󰀵
䇃	立巳󰁀
䇄	立𠂉乙󰁀
䇅	立戈󰁶
䇆	立󰁦十󰀢
䇇	立󰁂󰀁󰁀
䇈	立又土󰀝
䇉	立石󰀝
䇊	立广厶󰁶
䇋	立夕夕󰁶
䇌	立⺌月󰀝
䇍	立口󰁾󰁶
䇎	立󰁺日󰀝
䇏	立󰁸子󰀝
䇐	立󰁬氺󰁶
䇑	立白丿十
䇒	󰁮󰀄󰁜立
䇓	彡丆貝立
䇔	󰄹月立丶
䇕	立󰀙丆〢
䇖	⺮勹丿󰁣
䇗	⺮八厶󰁧
䇘	⺮一彑󰀘
䇙	⺮弓丨󰀬
䇚	⺮亻卜󰁧
䇛	⺮止󰀘
䇜	⺮⺈人󰁧
䇝	⺮戈󰁧
䇞	⺮甘󰀘
䇟	⺮夕力󰁣
䇠	⺮丶王󰀘
䇡	⺮宀丁󰀬
䇢	⺮古󰀘
䇣	⺮人小󰁧
䇤	⺮一冂人
䇥	⺮一止󰀘
䇦	⺮ㄇ大󰁧
䇧	⺮一囗人
䇨	⺮夂㐄󰀬
䇩	⺮日󰁒丿
䇪	⺮一厶土
䇫	⺮匚丨丨
䇬	⺮丿未󰁧
䇭	⺮土丿匕
䇮	⺮亻丿士
䇯	⺮耳󰀘
䇰	⺮了󰀩一
䇱	⺮囗夕󰁧
䇲	⺮一丷大
䇳	⺮二戈󰁧
䇴	⺮西󰀘
䇵	⺮氵斤󰀬
䇶	⺮⺈用󰀬
䇷	⺮口力刂
䇸	⺮口王󰀘
䇹	⺮󰁬丿口
䇺	⺮一口䒑
䇻	⺮尸毛󰀅
䇼	⺮口巴󰀅
䇽	⺮扌斤󰀬
䇾	⺮言󰀘
䇿	⺮木口󰀘
䈀	⺮󰀼󰀼刂
䈁	⺮人一艹
䈂	⺮䒑廾󰀬
䈃	⺮氵刀口
䈄	⺮了󰀪凵
䈅	⺮戈口󰀞
䈆	⺮丶尸犬
䈇	⺮󰀥早󰀬
䈈	⺮月巴󰀅
䈉	⺮立女󰀘
䈊	⺮土八夂
䈋	⺮水日󰀘
䈌	⺮氵󰀐一
䈍	⺮亠󰄃目
䈎	⺮廿󰄃木
䈏	⺮一口田
䈐	⺮忄火
䈑	⺮ㄇ󰁈口
䈒	⺮十冂十
䈓	⺮日勹󰄃
䈔	⺮󰁃丨又
䈕	⺮日一󰁾
䈖	⺮禾󰁦十
䈗	⺮亻厶夂
䈘	⺮䒑幺幺
䈙	⺮糹寸󰁧
䈚	⺮厶口心
䈛	⺮󰀥冂又
䈜	⺮亻彐又
䈝	⺮乛󰁾月
䈞	⺮亠口日
䈟	⺮貝刂󰀬
䈠	⺮爫一又
䈡	⺮勹󰁤心
䈢	⺮厶口木
䈣	⺮一止攵
䈤	⺮木甘󰀘
䈥	⺮⺈用力
䈦	⺮乂凵夂
䈧	⺮爫丿灬
䈨	⺮阝艮󰁧
䈩	⺮人一刂
䈪	⺮一口丨
䈫	⺮糹冂人
䈬	⺮氵甫󰁧
䈭	⺮白󰁜厶
䈮	⺮立勹口
䈯	⺮十󰀣八
䈰	⺮扌⺌月
䈱	⺮爫臼󰀘
䈲	⺮丿󰁪又
䈳	⺮日羽󰀘
䈴	⺮䒑󰁬八
䈵	⺮八厶羽
䈶	⺮宀八口
䈷	⺮木夂口
䈸	⺮⺈用十
䈹	⺮宀亻日
䈺	⺮糹夂󰁦
䈻	⺮月甫󰁧
䈼	⺮宀心山
䈽	⺮廿口
䈾	⺮木⺌月
䈿	⺮冖日六
䉀	⺮广廿灬
䉁	⺮耳人󰁻
䉂	⺮田幺小
䉃	⺮爿󰁝寸
䉄	⺮阝土夂
䉅	⺮土䒑丶
䉆	⺮󰁟灬󰁧
䉇	⺮󰀎八刂
䉈	⺮󰁺月攵
䉉	⺮⺈用󰂃
䉊	⺮厶大車
䉋	⺮女󰁅目
䉌	⺮阝䒑󰀓
䉍	⺮門心󰁧
䉎	⺮⺌冖木
䉏	⺮⺈用󰀟
䉐	⺮車古󰀘
䉑	⺮𠂉一灬
䉒	⺮丿米田
䉓	⺮木日木
䉔	⺮一夕戈
䉕	⺮丷󰀺日
䉖	⺮車人󰁻
䉗	⺮扌口耳
䉘	⺮木宀小
䉙	⺮󰀙二厶
䉚	⺮罒冖丶
䉛	⺮丿ㄇ大
䉜	⺮𠂉大󰁷
䉝	⺮丷王丶
䉞	⺮戊一心
䉟	⺮扌亻又
䉠	⺮彳山攵
䉡	⺮亠囗一
䉢	⺮土人口
䉣	⺮臼勹灬
䉤	⺮米女攵
䉥	⺮扌丿心
䉦	⺮覀大辶
䉧	⺮󰁚丶刂
䉨	⺮立󰀓又
䉩	⺮木匚口
䉪	⺮田田田
䉫	⺮禾勹氺
䉬	⺮广癶又
䉭	⺮巛囗󰁒
䉮	⺮門亻󰁷
䉯	⺮匚丨貝
䉰	⺮󰀾月乂
䉱	⺮衤󰁧口
䉲	⺮弓一乂
䉳	⺮󰁢灬羊
䉴	⺮亠口󰀔
䉵	⺮目大艮
䉶	⺮亻󰁷又
䉷	⺮口口攵
䉸	⺮辛言辛
䉹	⺮󰀙口人
䉺	米工󰀝
䉻	米󰁚󰀁󰁀
䉼	米斤󰀢
䉽	米丷󰀟󰀢
䉾	丬匕米󰁧
䉿	米丿丷󰀛
䊀	米古󰀝
䊁	米丿土儿
䊂	米木冂󰁀
䊃	米几一丨
䊄	工几丶米
䊅	米夕口󰀝
䊆	臼米󰁧
䊇	米甫󰁶
䊈	米𠂉母󰁶
䊉	米宀木󰁶
䊊	米尸毛󰁀
䊋	米爿士󰀝
䊌	米广󰁴匕
䊍	禾勹丿米
䊎	米丷夫⺋
䊏	米火火󰁶
䊐	米日󰁴匕
䊑	米⺌冂口
䊒	米亻󰁷󰀝
䊓	米日一󰁾
䊔	米艹ㄇ大
䊕	米󰁬󰀟廴
䊖	米十冂十
䊗	米白王󰀝
䊘	米由月󰀝
䊙	石一廾米
䊚	米丿󰃧辶
䊛	米乂朩又
䊜	米一日寸
䊝	米丿米心
䊞	米亠丷古
䊟	米廿冂丶
䊠	󰁮󰀄󰁜米
䊡	米日罒又
䊢	爿󰁝寸米
䊣	米󰁺由八
䊤	米覀早󰀢
䊥	米󰁬十󰀲
䊦	米士冖䒑
䊧	米弓󰀯貝
䊨	󰄹月米几
䊩	米丿米田
䊪	米艹日丶
䊫	米罒丨三
䊬	禾日木米
䊭	米士乛寸
䊮	米羽亻󰁷
䊯	米广󰁺八
䊰	米言土日
䊱	米人人󰀞
䊲	覀米立
䊳	米广木三
䊴	米⺮人人
䊵	糹九󰁀
䊶	糹也󰁀
䊷	糹󰀛丿󰁥
䊸	糹二ㄅ󰁀
䊹	糹丿十󰀢
䊺	糹一彑󰀝
䊻	糹⺈人󰁶
䊼	糹止󰀝
䊽	糹ユ人󰁶
䊾	糹木󰁶
䊿	糹夫󰁶
䋀	丶尸幺小
䋁	糹亠几󰁀
䋂	糹乂乂󰁶
䋃	糹毛󰁀
䋄	糹冂乂󰁶
䋅	糹丿󰀟󰀢
䋆	糹丶尸󰁥
䋇	糹尸󰂃󰁶
䋈	女又幺小
䋉	糹宀八󰁶
䋊	糹一止󰀝
䋋	糹󰁂󰀁󰁀
䋌	糹匚󰁃󰀝
䋍	糹丁口󰀝
䋎	糹日一󰀝
䋏	糹𠂉丨二
䋐	糹戈󰁐󰁀
䋑	糹一冂人
䋒	糹󰁻乛丿
䋓	糹⺈彐󰀝
䋔	糹丆卜一
䋕	亻丿士小
䋖	糹󰁬󰀟󰀢
䋗	糹匚丨丨
䋘	糹二木󰁶
䋙	糹耳󰀝
䋚	糹羽󰀝
䋛	糹米󰁶
䋜	丶尸又小
䋝	糹󰀧女󰀝
䋞	糹冂乂乂
䋟	糹己心󰁶
䋠	糹甫󰁶
䋡	糹人一朩
䋢	扌斤幺小
䋣	𠂉母幺小
䋤	幺小丶
䋥	糹日土󰀝
䋦	糹𠂉母󰁶
䋧	糹尸古󰀝
䋨	糹立口󰀝
䋩	糹臼儿󰁀
䋪	糹阝丁口
䋫	糹⺈󰁬亅
䋬	糹一大⺗
䋭	糹亠厶月
䋮	糹金󰀝
䋯	丶尸戈小
䋰	目大幺小
䋱	糹木人人
䋲	糹口日乚
䋳	糹丬匕月
䋴	糹󰁻乛木
䋵	糹日勹󰄃
䋶	糹丆貝󰁶
䋷	󰁻乛亅小
䋸	糹⺁十目
䋹	糹一口田
䋺	糹禾火󰁶
䋻	糹十冂十
䋼	糹乃又皿
䋽	糹土土寸
䋾	糹大夕夕
䋿	糹田一󰀖
䌀	糹禾󰁦十
䌁	糹覀女󰀝
䌂	糹尸一土
䌃	糹⺌月刂
䌄	糹一冂又
䌅	糹广󰁬口
䌆	糹白󰁜厶
䌇	糹十冖小
䌈	糹日羽󰀝
䌉	糹罒一止
䌊	糹爫𠂉凵
䌋	糹艹人口
䌌	糹羽白󰀝
䌍	糹廿口
䌎	田夂口小
䌏	糹宀心山
䌐	糹爫目儿
䌑	糹匚丨土
䌒	糹󰁙󰁴匕
䌓	𠂉母几小
䌔	糹匚口口
䌕	糹广木木
䌖	糹亻󰁷木
䌗	糹𠂉一灬
䌘	㡀攵幺小
䌙	糹󰁺由八
䌚	糹覀米󰁶
䌛	󰁝言丿小
䌜	糹业䒑未
䌝	糹木木小
䌞	糹人一人
䌟	糹尸口辛
䌠	戊一口小
䌡	糹ㄇ󰁺䒑
䌢	糹󰀙人󰁻
䌣	糹⺮宀󰃧
䌤	糹一八乂
䌥	糹爫工心
䌦	糹羽亻󰁷
䌧	糹士乛寸
